Student ID,Cluster Points,Mean Grade,Area of Interest,Gender,Age,Recommended Courses
S001,31,C,Medicine,Other,29,"Pharmacy, MBBS, Nursing"
S002,25,A,Engineering,Female,20,"Electrical Engineering, Software Engineering, Mechanical Engineering"
S003,30,C,Arts,Female,19,"Theater, Music, Literature"
S004,42,C-,Hospitality,Other,29,"Tourism Management, Event Planning, Hotel Management"
S005,34,E,Law,Female,28,"Political Science, Criminology, LLB"
S006,47,A-,Business,Female,24,"Finance, Accounting, BBA"
S007,43,B+,Business,Female,28,"BBA, Entrepreneurship, Accounting"
S008,22,C+,Medicine,Other,30,"Nursing, Clinical Medicine, Pharmacy"
S009,24,B+,Medicine,Female,22,"Nursing, MBBS, Clinical Medicine"
S010,46,B-,ICT,Female,17,"Data Science, Cybersecurity, Computer Science"
S011,38,B,Law,Male,29,"International Law, LLB, Political Science"
S012,24,A-,Hospitality,Female,28,"Tourism Management, Event Planning, Culinary Arts"
S013,39,A,Arts,Female,21,"Literature, Theater, Fine Arts"
S014,38,E,Business,Male,21,"Entrepreneurship, Accounting, Finance"
S015,13,B+,Hospitality,Female,23,"Event Planning, Tourism Management, Hotel Management"
S016,12,D+,Business,Other,22,"Entrepreneurship, Finance, BBA"
S017,17,C+,Agriculture,Female,30,"Horticulture, Agri-Business, Agricultural Science"
S018,15,D-,Engineering,Male,26,"Software Engineering, Mechanical Engineering, Civil Engineering"
S019,48,A,Agriculture,Other,26,"Horticulture, Agri-Business, Animal Science"
S020,43,A,Education,Male,25,"Early Childhood Education, Education Arts, Education Science"
S021,16,E,Agriculture,Male,17,"Animal Science, Agricultural Science, Horticulture"
S022,38,B-,Business,Male,17,"Accounting, Entrepreneurship, Finance"
S023,22,C,Business,Other,26,"Finance, BBA, Accounting"
S024,42,C+,Engineering,Other,20,"Civil Engineering, Electrical Engineering, Mechanical Engineering"
S025,15,C,Law,Female,25,"International Law, Criminology, Political Science"
S026,19,B+,Hospitality,Male,27,"Event Planning, Culinary Arts, Hotel Management"
S027,18,B+,Hospitality,Male,24,"Tourism Management, Hotel Management, Event Planning"
S028,10,B-,Engineering,Male,19,"Civil Engineering, Electrical Engineering, Software Engineering"
S029,35,C-,ICT,Female,17,"Cybersecurity, Data Science, Information Technology"
S030,36,A,Agriculture,Female,21,"Horticulture, Agri-Business, Agricultural Science"
S031,27,A-,Medicine,Female,26,"Nursing, MBBS, Pharmacy"
S032,29,D+,ICT,Female,24,"Cybersecurity, Computer Science, Information Technology"
S033,17,D,Engineering,Male,20,"Software Engineering, Civil Engineering, Electrical Engineering"
S034,25,A-,Arts,Male,20,"Fine Arts, Music, Literature"
S035,38,D+,Agriculture,Other,21,"Agri-Business, Horticulture, Agricultural Science"
S036,37,D-,Engineering,Female,24,"Electrical Engineering, Software Engineering, Civil Engineering"
S037,32,E,ICT,Male,29,"Cybersecurity, Information Technology, Data Science"
S038,44,C,Law,Other,22,"International Law, Political Science, LLB"
S039,11,C+,Hospitality,Female,20,"Event Planning, Tourism Management, Hotel Management"
S040,12,E,Law,Other,24,"International Law, Criminology, LLB"
S041,45,D+,Arts,Male,22,"Fine Arts, Theater, Music"
S042,11,D,Medicine,Female,20,"Pharmacy, MBBS, Nursing"
S043,23,D-,Law,Female,20,"International Law, LLB, Political Science"
S044,42,B-,Medicine,Other,24,"MBBS, Clinical Medicine, Nursing"
S045,22,C+,Agriculture,Male,25,"Agricultural Science, Animal Science, Horticulture"
S046,37,A-,Engineering,Other,21,"Electrical Engineering, Software Engineering, Mechanical Engineering"
S047,25,B,Engineering,Male,28,"Software Engineering, Civil Engineering, Mechanical Engineering"
S048,26,D+,Arts,Female,22,"Theater, Music, Fine Arts"
S049,30,D+,ICT,Other,19,"Data Science, Cybersecurity, Information Technology"
S050,36,C+,Agriculture,Female,21,"Animal Science, Agricultural Science, Horticulture"
S051,30,D,Engineering,Other,20,"Electrical Engineering, Civil Engineering, Mechanical Engineering"
S052,40,D+,Education,Other,24,"Education Science, Education Arts, Special Needs Education"
S053,30,C,Medicine,Female,19,"MBBS, Nursing, Clinical Medicine"
S054,16,D+,Agriculture,Other,24,"Agricultural Science, Agri-Business, Horticulture"
S055,25,A,ICT,Male,18,"Data Science, Cybersecurity, Computer Science"
S056,11,D-,Agriculture,Male,24,"Horticulture, Animal Science, Agri-Business"
S057,17,B+,Agriculture,Male,22,"Agri-Business, Agricultural Science, Animal Science"
S058,34,B,Education,Male,30,"Education Science, Education Arts, Special Needs Education"
S059,41,B+,Law,Male,17,"Political Science, LLB, International Law"
S060,46,A-,Engineering,Male,28,"Electrical Engineering, Mechanical Engineering, Software Engineering"
S061,26,C+,Medicine,Female,21,"MBBS, Nursing, Clinical Medicine"
S062,39,C+,Law,Other,30,"Criminology, International Law, Political Science"
S063,12,B-,ICT,Male,25,"Information Technology, Cybersecurity, Data Science"
S064,40,A,ICT,Female,20,"Data Science, Information Technology, Cybersecurity"
S065,17,B-,ICT,Other,24,"Computer Science, Cybersecurity, Data Science"
S066,12,C-,Arts,Other,21,"Fine Arts, Music, Theater"
S067,45,C+,Business,Female,22,"Accounting, Entrepreneurship, Finance"
S068,26,D-,Business,Male,24,"Entrepreneurship, Finance, Accounting"
S069,43,B+,Arts,Male,29,"Music, Fine Arts, Theater"
S070,22,C-,Engineering,Female,30,"Software Engineering, Civil Engineering, Electrical Engineering"
S071,14,C+,Engineering,Female,18,"Software Engineering, Civil Engineering, Electrical Engineering"
S072,25,C-,Engineering,Other,18,"Civil Engineering, Mechanical Engineering, Software Engineering"
S073,13,C-,Business,Female,21,"BBA, Entrepreneurship, Finance"
S074,35,D,Education,Other,29,"Education Science, Education Arts, Special Needs Education"
S075,13,B+,Education,Male,24,"Early Childhood Education, Special Needs Education, Education Arts"
S076,48,C-,Agriculture,Male,20,"Agricultural Science, Horticulture, Agri-Business"
S077,34,B-,Business,Female,19,"BBA, Entrepreneurship, Accounting"
S078,32,C-,Law,Male,30,"Criminology, Political Science, International Law"
S079,29,A-,Agriculture,Other,22,"Agricultural Science, Animal Science, Agri-Business"
S080,16,D+,Business,Female,22,"BBA, Finance, Entrepreneurship"
S081,26,E,Arts,Female,27,"Theater, Literature, Fine Arts"
S082,28,B,Agriculture,Female,30,"Agricultural Science, Horticulture, Animal Science"
S083,36,A-,Law,Male,17,"International Law, Criminology, Political Science"
S084,35,A,Hospitality,Female,27,"Event Planning, Tourism Management, Hotel Management"
S085,46,C,Law,Female,26,"International Law, Criminology, Political Science"
S086,32,A-,Engineering,Other,19,"Electrical Engineering, Mechanical Engineering, Civil Engineering"
S087,22,C-,ICT,Female,17,"Information Technology, Data Science, Cybersecurity"
S088,12,D,Arts,Male,24,"Theater, Fine Arts, Literature"
